Big_Toots_attendance 
 id, firstName, lastName, age, memberType, October_1_2024, 
 "242","Jenny","Banks","adult","visitor","0",
 "183","Sue","Banks","adult","visitor","0",
 "181","Rachel","Banks","adult","visitor","0",
 "23","Burt","Barf","adult","member","0",
 "48","Ben","Bartley ","adult","member","0",
 "64","Hughes","Beaumont","adult","visitor","0",
 "103","Bernard","Betty","adult","visitor","0",
 "22","KB","Billy","adult","visitor","0",
 "100","Benji","Brigham","adult","visitor","0",
 "102","Bandy","Brown","adult","visitor","0",
 "153","Jackulein","Burt","","visitor","0",
 "53","Hickory ","Dickory","adult","member","0",
 "50","Rufus","Dumbledore","adult","member","0",
 "308","Irene","Fartz","adult","visitor","1",
 "306","Henry","Fran-Jones","adult","visitor","1",
 "25","Fergie","Frank","adult","visitor","0",
 "42","Betty ","Frankfurt","adult","visitor","0",
 "45","Bill","Hader","adult","visitor","0",
 "46","Bill","Haderson","adult","visitor","0",
 "12","Edward","Handy","adult","member","0",
 "20","Henry","Hanky","adult","visitor","0",
 "31","Henry","Harry","adult","visitor","0",
 "59","Hank","Hubert","adult","visitor","0",
 "57","Harold","Hurley","adult","member","0",
 "61","Jane","Jackson","adult","visitor","0",
 "60","Hubert","Jeffries","adult","visitor","0",
 "54","Troy","Jones","adult","visitor","0",
 "51","Jack","Nicholson","adult","visitor","0",
 "65","Hankie","Panky","adult","visitor","0",
 "33","Henry","Park","adult","visitor","0",
 "304","Burt","Reynoldsville","child","visitor","1",
 "43","Henry","Rocker","adult","member","0",
 "67","Benard","Shank","adult","member","0",
 "202","Chris","Sharts","teen","visitor","0",
 "24","Hank","Shukster","adult","member","0",
 "307","Henry","Small-Pickle","adult","visitor","1",
 "30","Frank ","Troyan","adult","visitor","0",
 "55","Bruce ","Wayne","adult","member","0",
